internal,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
16,43,,,,,,,,,,,,,,,,1000i,37.4493-1527.76i,-10.8985+245.822i,,,,,-26.5508+282.404i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,42,,,,,,,,,,,,,-10.7673+152.615i,,,,-10.8985+245.822i,39.5448-766.301i,-10.2953+235.678i,,,,-7.58379+134.161i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30,,,,,,,,,,,,,,,,,,-10.2953+235.678i,96.4453-2318.57i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.8722+1996.81i,-6.27785+87.8124i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,33,,,,,,,,,,,,,,,,,,,,32.0899-399.483i,-10.3405+127.697i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7494+272.992i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,32,,,,,,,,,,,,,,,,,,,,-10.3405+127.697i,82.1841-990.911i,-14.6816+204.284i,-24.7547+250.72i,-22.9314+322.022i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.47588+89.4944i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,40,,,,,,,,,,,,1000i,-15.0107+339.472i,,,,,,,,-14.6816+204.284i,41.8193-1711.98i,,-12.1271+169.49i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,44,,,,,,,,,,,,,,,-94.1176+1443.14i,,-26.5508+282.404i,-7.58379+134.161i,,,-24.7547+250.72i,,169.089-2317.32i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0823+209.291i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,31,,,,,,,,,-101.771+2015.06i,,,,,,,,,,,,-22.9314+322.022i,-12.1271+169.49i,,136.829-2505.48i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,102,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,325,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
